Republic of the Philippines,,,,,,,,,,,,,,
Province of South Cotabato,,,,,,,,,,,,,,
OFFICE OF THE PROVINCIAL ENGINEER,,,,,,,,,,,,,,
City of Koronadal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUMMARY OF MONTHLY ACCOMPLISHMENT REPORTS,,,,,,,,,,,,,,
"As of December 25, 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name of Project,Location,Source of Funds,Accomplishment,,Slippage,Contract,No. of Days,Date,Target Date of Completion,Date Completed,Project Engineer,Implementor,Remarks
,,,, % WT Actual,% WT Plan,,Amount,,Started,,,,,
53,Completion of Sports Learning Center @ Sto. Niño CES,Sto. Niño,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,0.00%,0.51%,-0.51%," 4,070,985.86 ",165,12/16/18,5/29/19,,ME Dondiego,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
54,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,84.89%,100.00%,-15.11%," 8,494,519.47 ",160,1/2/18,6/10/18,,ME Dondiego,HEXAMINDZ CORPORATION,On-going; project expired as of June 10
55,Construction of Dog Impounding facility Ecological Park,Surallah,CY 2018 Cont. Appro GF # 316,55.05%,95.30%,-40.25%," 1,791,047.18 ",90,8/15/18,12/31/18,,CJ HICBAN,FH GOPITEO CONST. & SUPPLY,On-going; variation order is on process
56,Installation of Lined Canal along Crossing Verayo - Lambontong Rd,Surallah,CY 2018 20% LDF 4.6.1,92.19%,95.53%,-3.34%," 2,632,134.06 ",130,8/21/18,12/28/18,,CJ HICBAN,DAVAO SANTHONY BUILDERS CORP.,On-going
57,"Construction of Multipurpose Building, Brgy. Lamian",Surallah,CY 2018 20% LDF ,0.00%,0.72%,-0.72%," 3,193,878.49 ",120,12/20/18,4/18/19,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going
58,Rehabilitation of Lamdalag - Lamcade - Klubi Rd,Lake Sebu,2018 Cont. Appro GF#318,65.32%,82.19%,-16.87%," 7,153,222.57 ",125,8/15/18,1/24/19,,A SOBREVEGA,THREE G BUILDERS,On-going
59,Rehabilitation of Lamdalag - Lamcade - Klubi Rd (Phase II),Lake Sebu,2018-20% LDF,0.12%,3.45%,-3.33%," 9,993,373.52 ",150,11/14/18,4/12/19,,A SOBREVEGA,THREE G BUILDERS,On-going
60,"Construction of Stage, Brgy. Luhib",Lake Sebu,2018-20% LDF,3.00%,26.68%,-23.68%," 997,312.62 ",90,11/27/18,2/24/19,,A SOBREVEGA,THREE G BUILDERS,On-going
61,Upgrading of Brgy. Poblacion-Matapol Road,Norala,2018-20% LDF,1.45%,0.76%,0.69%," 9,976,002.83 ",150,12/20/18,5/18/19,,A SOBREVEGA,GABRIELLAS ENTERPRISES,On-going
62,"Construciton of Stage, Brgy. Lahit",Lake Sebu,2018-20% LDF,0.00%,,," 992,314.81 ",90,12/10/18,3/9/19,,A SOBREVEGA,THREE G BUILDERS,On-going; no construction activities were done due to foundation anniversary of the barangay
63,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,60.90%,95.08%,-34.18%," 24,961,302.94 ",340,6/25/17,7/9/18,,ME Dondiego,FREDEN CONSTRUCTION,"Project suspended as of July 9, 2018"
64,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,67.45%,100.00%,-32.55%," 4,995,579.03 ",80,12/25/17,6/16/18,,MJ Dauz,JAMI CONST. & SUPPLY,On-going; major issue: no heavy equipments and insuffiecient manpower
65,"Construction of Box Culvert along Malu Creek, Sitio Bianan, Brgy. Basag",T'boli,2018 CONT. APPROP. PDRRMF #45,100.00%,100.00%,0.00%," 2,992,000.00 ",205,5/21/18,12/11/18,12/11/18,J JANUTO,FREDEN CONSTRUCTION,Completed
66,"Construction of Stage, Brgy. Datal D'lanag",T'boli,CY 2018 20% LDF,1.37%,19.27%,-17.90%," 992,963.44 ",90,11/21/18,2/18/19,,MJ Dauz,NIRVANA CONST. & SUPPLIES,On-going
67,Construction of One (1) Unit Warehouse and Drier,Surallah & T'boli,PRDP,9.00%,3.32%,5.68%," 2,996,169.76 ",90,11/3/18,3/7/19,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going
68,Completion of Sports Learning Center @ Aflek NHS,T'boli,SEF SB#1-999-CONST. OF SCHOOL BLDG. & OTHER FACILITIES,1.99%,1.99%,0.00%," 995,000.00 ",90,12/23/18,3/22/19,,J JANUTO,FREDEN CONSTRUCTION,On-going
,CMGP,,,,,,,,,,,,,
1,Upgrading of Jct Nhwy. Palkan-Cannery-Jct. Upper Klinan Road (2018),Polomolok,CMGP CY 2018,70.29%,71.69%,-1.40%," 23,929,475.94 ",168,8/7/18,1/21/19,,J JANUTO,PASE CONSTRUCTION,On-going
2,Upgrading of Jct. Palkan-Cannery-Jct. Upper Klinan Road (2017),Polomolok,CMGP CY 2017,91.70%,100.00%,-8.30%," 65,098,979.00 ",140,10/10/17,10/28/18,,J JANUTO,RITCHIE-NATHALIE BUILDERS & GEM. MDSE,On-going
3,Upgrading of Jct Nhwy - Sulit - Bentung - Crossing Aflek Rd,Polomolok,CMGP CY 2018,100.00%,100.00%,0.00%," 15,760,000.00 ",113,8/7/18,12/27/18,12/27/18,J JANUTO,FREDEN CONSTRUCTION,Completed
4,Upgrading of Nhwy - Cebuano - Kipalbig Bdry Rd,Tupi,CMGP CY 2018,92.63%,80.06%,12.57%," 21,545,865.65 ",168,8/7/18,1/21/19,,A BARRIENTOS,HVC SAGITTARIUS COMMERCIAL & CONSTRUCTION,On-going
5,Upgrading of Tampakan-Tablu Boundary Road,Tampakan,CMGP CY 2018,65.44%,68.04%,-2.60%," 19,295,000.00 ",126,8/16/18,12/19/18,,A. Demetillo,FREDEN CONSTRUCTION,"Suspended as of Dec. 12, 2018 due to variation order"
6,Upgrading of Tampakan-Sta. Cruz-Topland Boundary Road,Tampakan,CMGP CY 2018,54.24%,67.74%,-13.50%," 22,179,490.33 ",146,8/8/18,12/31/18,,A. Demetillo,Dalanon Construction,"Suspended as of Dec. 12, 2018 due to variation order"
7,Upgrading of Jct.Nhwy. New Iloilo-Cabuling-New Lambunao Boundary Road,Tantangan,CMGP CY 2018,74.13%,77.30%,-3.17%," 33,866,533.26 ",172,8/7/18,1/25/19,,S. Rentoza,Reydan Builders,On-going
8,Upgrading of Jct. Nhwy. Poblacion - Tantangan-Tacub-Tinago Boundary Road,Tantangan,CMGP CY 2018,72.49%,22.70%,49.79%," 23,825,000.00 ",152,8/7/18,1/5/19,,S. Rentoza,FREDEN CONSTRUCTION,On-going; major issue: the layout of lined canal does not conform with the approved pland and the elevation shoud be leveled with the edge of the PCCP & not to the center line
9,Upgrading of Centrala-Naci-Lambontong Road,Surallah,CMGP CY 2018,86.72%,89.14%,-2.42%," 31,553,343.91 ",168,8/7/18,1/21/19,,ME Dondiego,FH Gopiteo Const.& Supply,On-going
,,,,,,,,,,,,,,
Prepared by:,,,,,,Submitted by:,,,,,,,Approved:,
,,,,,,,,,,,,,,
ELSA T. SOMBREA,,"CASIMERO D. PADILLA, JR.",,,,"VICENTE P. AYONGAO, MPA",,,,,,,"MARNILO S. APEROCHO, MPA",
Engineer III-Chief Upper Valley Section,,"Engineer III-Chief, Lower Valley Section",,,,Engineer IV,,,,,,,Provincial Engineer,
,,,,,,Chief Const. & Maint. Division,,,,,,,,
